INDEX,Y,Y_prediction,Y_uncertainties,Mw,Temperature,Shear_Rate,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAliphaticRings,mfp_NumAromaticRings,mfp_tpsa,afp_C2_C4_C4,afp_C2_C4_H1,afp_C3_C3_C3,afp_C3_C3_C4,afp_C3_C3_H1,afp_C3_C3_O1,afp_C3_C3_O2,afp_C3_C3_S2,afp_C3_C3_S4,afp_C3_C4_C3,afp_C3_C4_C4,afp_C3_C4_H1,afp_C3_C4_O2,afp_C3_N3_C4,afp_C3_N3_H1,afp_C3_O2_C3,afp_C3_O2_C4,afp_C3_O2_H1,afp_C3_S2_C3,afp_C3_S4_C3,afp_C3_S4_O1,afp_C4_C2_N1,afp_C4_C3_H1,afp_C4_C3_N3,afp_C4_C3_O1,afp_C4_C3_O2,afp_C4_C4_C4,afp_C4_C4_F1,afp_C4_C4_H1,afp_C4_C4_N3,afp_C4_C4_O2,afp_C4_C4_Si4,afp_C4_N3_H1,afp_C4_O2_C4,afp_C4_Si4_C4,afp_C4_Si4_O2,afp_F1_C4_F1,afp_H1_C4_H1,afp_H1_C4_N3,afp_H1_C4_O2,afp_H1_C4_Si4,afp_N3_C3_O1,afp_O1_C3_O2,afp_O1_S4_O1,afp_O2_C3_O2,afp_O2_Si4_O2,afp_Si4_C4_Si4,afp_Si4_O2_Si4,efp_3v_main,efp_3v_side,efp_4v_main,efp_4v_side,efp_fam_acrylate,efp_fam_carbonateester,efp_fam_ketone,efp_fam_polyamides,efp_fam_single,efp_main_chain_rel,efp_main_chain_ring,efp_norm_mol_wt,efp_numatoms_none_H,efp_ring,efp_ring_dist_shortest,efp_side_chain_abs,bfp_101,bfp_112,bfp_113,bfp_114,bfp_145,bfp_197,bfp_198,bfp_199,bfp_208,bfp_209,bfp_215,bfp_218,bfp_22,bfp_222,bfp_223,bfp_225,bfp_23,bfp_248,bfp_249,bfp_267,bfp_282,bfp_289,bfp_294,bfp_295,bfp_299,bfp_3,bfp_304,bfp_305,bfp_311,bfp_312,bfp_313,bfp_314,bfp_315,bfp_316,bfp_328,bfp_334,bfp_340,bfp_342,bfp_343,bfp_344,bfp_348,bfp_349,bfp_350,bfp_354,bfp_355,bfp_359,bfp_360,bfp_361,bfp_375,bfp_379,bfp_386,bfp_398,bfp_423,bfp_424,bfp_426,bfp_428,bfp_430,bfp_448,bfp_451,bfp_458,bfp_461,bfp_464,bfp_481,bfp_483,bfp_510,bfp_58,bfp_78,bfp_81,bfp_85,bfp_98,bfp_99
423,1.215189873,1.311397281,0.257596261,1637.893707,25,0,0.8,0.2,0.4,0.1,0.05,0.05,0.9,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.450766667,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.6,0.6,0,0,0,0,0,0.4,0,0.6,0,0.2,0,0,0,0.6,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7.828164106,7.755784935,0.346464741,564000,150,0,0.833333333,0.166666667,0.416666667,0.083333333,0.041666667,0.041666667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,5.265734266,6.714105079,3.076723835,669000,180,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0
477,2.530847675,2.540993932,0.273835464,24800,100,871.0344828,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,3.446351931,3.802570841,0.271004295,44000,300,5.247448915,0.673477117,0.384067716,0.355295299,0.247704079,0.114573669,0.207357372,0.545454545,0,0,0.272727273,0.272727273,0,0.181818182,0,0,0,0,0,0,0,0.090909091,0,0,0,0.545454545,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.090909091,0,0,0,0.545454545,0,0.727272727,0,0,0.363636364,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455,0.8,0.819431818,0.636363636,0.857142857,0.333333333,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,1.909090909,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,1.090909091,0,0,0.363636364,0.090909091,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,3.407725322,3.791496231,0.268887614,44000,300,49.1789447,0.673477117,0.384067716,0.355295299,0.247704079,0.114573669,0.207357372,0.545454545,0,0,0.272727273,0.272727273,0,0.181818182,0,0,0,0,0,0,0,0.090909091,0,0,0,0.545454545,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.090909091,0,0,0,0.545454545,0,0.727272727,0,0,0.363636364,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455,0.8,0.819431818,0.636363636,0.857142857,0.333333333,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,1.909090909,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,1.090909091,0,0,0.363636364,0.090909091,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1.747889178,2.037312949,0.356400775,16000,190,0,0.75,0.25,0.390625,0.140625,0.09375,0.09375,0.6875,0,0,0.1875,0.1875,0,0.1875,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0.375,0.125,0.625,0,0,0,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0.125,0,0.542458333,0.5,0.75,0.2,0.666666667,0,0.6875,0.6875,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0.25,0.1875,0,0,0,1.8125,0.75,0,0,0,0,0.625,0.125,0,0,0.375,0,0,0.75,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8125,0,0,0,0,0
70,6.657055853,5.587952213,4.142746406,745000,175,0,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8.579783597,8.591153992,0.714214921,325000,25,0,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1.426511261,1.436463638,0.385402275,16000,217,0,0.75,0.25,0.390625,0.140625,0.09375,0.09375,0.6875,0,0,0.1875,0.1875,0,0.1875,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0.375,0.125,0.625,0,0,0,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0.125,0,0.542458333,0.5,0.75,0.2,0.666666667,0,0.6875,0.6875,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0.25,0.1875,0,0,0,1.8125,0.75,0,0,0,0,0.625,0.125,0,0,0.375,0,0,0.75,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8125,0,0,0,0,0
